,License Number,License Type,Name of Program,AddressLine1,AddressLine2,AddressLine3,City,State,Zip,County,Phone,License Status,License Holder,Capacity,Type Of License,Restrictions,Services,Licensing Authority,Initial Effective Date,Current Effective Date,Expiration Date,License Holder Lives Onsite,Unnamed: 22
0,1081858,Child Care Center, Faithful Beginnings at St Timothy School ,215 Division St E,,,Maple Lake,MN,55358     ,Wright,(320) 963-3417,Active,The Church of St Timothy,67 ,Service: Day time child care Ages Served: Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/09/2016,01/01/2023,12/31/2023,   ,
1,1004396,Child Care Center, French Academie (The),12301 WHITEWATER DR STE 190,,,Minnetonka,MN,55343-9452,Hennepin,(952) 944-1930,Active,The French Academie,68 ,Service: Day time child care Ages Served: Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,08/29/2000,01/01/2023,12/31/2023,   ,
2,1086983,Child Care Center,1st Lutheran Preschool and Extended Day Program,925 E 13th St,,,Glencoe,MN,55336     ,McLeod,(320) 864-3317,Active,First Evangelical Lutheran Church Preschool and Extended Day Program,20 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,08/28/2018,01/01/2023,12/31/2023,   ,
3,1080082,Child Care Center,2nd Home Childcare LLC,2600 26th Ave S #300,,,Minneapolis,MN,55406     ,Hennepin,(612) 814-1531,Active,2nd Home Childcare LLC,104,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,05/25/2016,01/01/2023,12/31/2023,   ,
4,1108608,Child Care Center,3Rs Early Childhood Learning Center,4900 85TH AVE N,,,Minneapolis,MN,55443-2600,Hennepin,(763) 315-5006,Active,Premier MN Brooklyn Park LLC,176,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,05/24/2021,01/01/2023,12/31/2023,   ,
5,1081425,Child Care Center,A Better Childcare,7046 Brooklyn Blvd,,,Brooklyn Center,MN,55429     ,Hennepin,(612) 226-0236,Active,A Better Childcare,14 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,06/25/2018,01/01/2023,12/31/2023,   ,
6,800003,Child Care Center,"A Child's Delight Too, Inc.",200 Western Ave Suite 2A,,,Faribault,MN,55021     ,Rice,(507) 332-2264,Active,"A Child's Delight Too, Inc.",94 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,05/01/1980,01/01/2023,12/31/2023,   ,
7,1096017,Child Care Center,A Child's Place Daycare Center ,3738 7TH AVE,,,Anoka,MN,55303-1465,Anoka,(763) 710-7662,Active,A Child's Place Daycare Center LLC,70 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,01/14/2019,01/12/2023,12/31/2023,   ,
8,1112619,Child Care Center,"A New Hope Family Child Care LLC, DBA A New Hope Preschool & ECE Progr",3596 LINDEN AVE STE B2,,,White Bear Lake,MN,55110-4694,Ramsey,(651) 493-2833,Active,A New Hope Family Child Care LLC DBA A New Hope Preschool & ECE Progra,32 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,"Per health inspector, catering and pre-packaged snacks only.  Disposable serving utensils and silverware.",Child Care Center,Minnesota Department of Human Services,07/18/2022,01/01/2023,12/31/2023,   ,
9,1097992,Child Care Center,A Plus Universal Child Care and Learning Center,1208 Shakopee Town Square,,,Shakopee,MN,55379     ,Scott,(952) 236-7460,Active,A Plus Universal Child Care and Learning Center,113,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,07/01/2019,01/01/2023,12/31/2023,   ,
10,1105095,Child Care Center,Aaron Child Care Inc.,2500 MINNEHAHA AVE STE 100,,,Minneapolis,MN,55404-4118,Hennepin,(612) 886-2557,Active,Aaron Child Care Inc.,117,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,11/10/2020,01/01/2023,12/31/2023,   ,
11,1052797,Child Care Center,AB Bohlman Inc dba Little Red Wagon,901 S Main St,,,Cambridge,MN,55008     ,Isanti,(763) 689-2567,Active,AB Bohlman Inc. DBA Little Red Wagon Child Care Center,81 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,01/05/2009,01/01/2023,12/31/2023,   ,
12,1101850,Child Care Center,AB.SEE Preschool & Early Learning Center,300 PARK ST W,,,Cannon Falls,MN,55009-2429,Goodhue,(507) 757-1110,Active,AB.SEE Preschool & Early Learning Center LLC,42 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,06/29/2020,01/01/2023,12/31/2023,   ,
13,1112247,Child Care Center,ABC Academy,160 3RD AVE W,,,Foley,MN,56329-4534,Benton,(320) 968-9948,Active,ABC Academy LLC,61 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,08/29/2022,01/01/2023,12/31/2023,   ,
14,800020,Child Care Center,ABC Express,6820 St. Patrick Lane,,,Edina,MN,55439     ,Hennepin,(952) 941-8973,Active,"ABC Express, Inc.",91 ,Service: Day time child care Ages Served: Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,08/20/1985,01/01/2023,12/31/2023,   ,
15,1095850,Child Care Center,ABC Learning Center Inc,2533 24th AVE S ,,,Minneapolis,MN,55406     ,Hennepin,(612) 432-2452,Active,ABC Learning Center Inc,40 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,05/01/2019,01/01/2023,12/31/2023,   ,
16,1108417,Child Care Center,ABC123 Child Enrichment Center LLC,1710 CENTER AVE W STE 122,,,Dilworth,MN,56529-1309,Clay,(218) 349-5846,Active,ABC123 Child Enrichment Center LLC,28 ,Service: Day time child care Ages Served: Infants       ,None,Child Care Center,Minnesota Department of Human Services,05/10/2021,01/01/2023,12/31/2023,   ,
17,1077914,Child Care Center,ABC123 Child Enrichment Center LLC,1710 CENTER AVE W STE 130,,,Dilworth,MN,56529-1309,Clay,(218) 303-1993,Active,ABC123 Child Enrichment Center LLC,146,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,03/07/2016,01/01/2023,12/31/2023,   ,
18,800381,Child Care Center,Abiding Branches Cooperative Preschool,171 Elm St,,,Lino Lakes,MN,55014     ,Anoka,(651) 214-3288,Active,Abiding Branches Cooperative Preschool,20 ,Service: Day time child care Ages Served: Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/01/1977,01/04/2023,12/31/2023,   ,
19,1051591,Child Care Center,Abiding Branches Cooperative Preschool,865 Birch St,,,Lino Lakes,MN,55014     ,Anoka,(612) 598-7284,Active,Abiding Branches Cooperative Preschool,20 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/08/2008,01/01/2023,12/31/2023,   ,
20,800025,Child Care Center,Abiding Savior Lutheran Preschool,8211 Red Oak Dr NE,,,Mounds View,MN,55112     ,Ramsey,(763) 784-5326,Active,Abiding Savior Lutheran Church,35 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,02/23/1967,01/01/2023,12/31/2023,   ,
21,1116169,Child Care Center,Acacia Montessori,14119 GALAXIE AVE,,,Apple Valley,MN,55124-8565,Dakota,(952) 236-9740,Active,Acacia Montessori,29 ,Service: Day time child care Ages Served: Preschool       ,"Per building inspector, no more than 29 children in care until sprinkler system installed. ",Child Care Center,Minnesota Department of Human Services,01/02/2023,01/02/2023,12/31/2023,   ,
22,1092665,Child Care Center,Academia Elze,4 West Franklin Ave,,,Minneapolis,MN,55404     ,Hennepin,(612) 345-5370,Active,"Academia Elze, LLC",64 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,06/29/2018,01/01/2023,12/31/2023,   ,
23,1050327,Child Care Center,Acorn Academy of Oak Haven Church,1555 Constance Blvd NE,,,Ham Lake,MN,55304     ,Anoka,(763) 413-9037,Active,Acorn Academy of Oak Haven Church,90 ,Service: Day time child care Ages Served: Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,05/29/2008,01/01/2023,12/31/2023,   ,
24,1093196,Child Care Center,"Active Child Care Center, Inc",2000 PLYMOUTH AVE N,,,Minneapolis,MN,55411-3713,Hennepin,(612) 353-4453,Active,"Active Child Care Center, Inc",111,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/24/2018,01/01/2023,12/31/2023,   ,
25,1098257,Child Care Center,Afton View Child Care Center,363 Winthrop St. S.,,,Saint Paul,MN,55119     ,Ramsey,(651) 797-6010,Active,My Four & No More LLC,57 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,04/15/2019,01/01/2023,12/31/2023,   ,
26,1110742,Child Care Center,Agape Head Start,1037 UNIVERSITY AVE W,,,Saint Paul,MN,55104-4788,Ramsey,(651) 744-7970,Active,Community Action Partnership of Ramsey and Washington Counties,54 ,Service: Day time child care Ages Served: Infants     Toddlers       ,"Until a food license is awarded, staff may mix the infant formula in the classrooms if they first wash their hands and wash an",Child Care Center,Minnesota Department of Human Services,11/08/2021,01/01/2023,12/31/2023,   ,
27,830242,Child Care Center,Agape I Child Development Center,2304 Emerson Ave N,,,Minneapolis,MN,55411     ,Hennepin,(612) 287-9775,Active,Agape Child Development Center,129,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       Service: Night time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,Open 24 Hours a Day,Child Care Center,Minnesota Department of Human Services,08/01/1997,01/01/2023,12/31/2023,   ,
28,1017825,Child Care Center,Al Amal Preschool,1401 Gardenia Ave NE Rooms 103 & 105,,,Fridley,MN,55432     ,Anoka,(763) 571-8886,Active,Al-Amal School,60 ,Service: Day time child care Ages Served: Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,08/30/2002,01/01/2023,12/31/2023,   ,
29,830800,Child Care Center,ALC Child Care Center,37 Woodlake Dr SE,,,Rochester,MN,55904     ,Olmsted,(507) 328-3980,Active,Rochester Public Schools,14 ,Service: Day time child care Ages Served: Infants     Toddlers       ,None,Child Care Center,Minnesota Department of Human Services,09/02/1998,01/01/2023,12/31/2023,   ,
30,800058,Child Care Center,Aldrich Memorial Nursery School,855 Essex Pkwy NW, ,,Rochester,MN,55901     ,Olmsted,(507) 289-3097,Active,"Aldrich Memorial Nursery School, Inc.",168,Service: Day time child care Ages Served: Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,11/27/1943,01/01/2023,12/31/2023,   ,
31,802771,Child Care Center,Alexandria Area YMCA Center east,110 Karl Dr,,,Alexandria,MN,56308     ,Douglas,(320) 834-9622,Active,Alexandria Area YMCA,136,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,06/16/1986,01/09/2023,12/31/2023,   ,
32,1092113,Child Care Center,Alexandria Area YMCA Center South,420 12th Ave E,,,Alexandria,MN,56308     ,Douglas,(320) 834-9622,Active,Alexandria Area YMCA,50 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,06/18/2018,01/09/2023,12/31/2023,   ,
33,807340,Child Care Center,All 'bout Children Daycare,300 1st Ave NW, ,,Plainview,MN,55964     ,Wabasha,(507) 534-2424,Active,"All 'bout Children Daycare, Inc.",63 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,03/16/1994,01/01/2023,12/31/2023,   ,
34,1082560,Child Care Center,All Ages & Faces Academy,580 FULLER AVE,,,Saint Paul,MN,55103-2245,Ramsey,(651) 488-2097,Active,All Ages & Faces Academy,90 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,10/05/2016,01/17/2023,12/31/2023,   ,
