,License Number,License Type,Name of Program,AddressLine1,AddressLine2,AddressLine3,City,State,Zip,County,Phone,License Status,License Holder,Capacity,Type Of License,Restrictions,Services,Licensing Authority,Initial Effective Date,Current Effective Date,Expiration Date,License Holder Lives Onsite,Unnamed: 22,full_address,location,latitude,longitude,weight
0,1081858,Child Care Center, Faithful Beginnings at St Timothy School ,215 Division St E,,,Maple Lake,MN,55358,Wright,(320) 963-3417,Active,The Church of St Timothy,67 ,Service: Day time child care Ages Served: Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/09/2016,01/01/2023,12/31/2023,   ,,215 Division St E Maple Lake MN 55358,"215 Division St E, Maple Lake, MN 55358, USA",45.230792,-93.99925209999999,
1,1004396,Child Care Center, French Academie (The),12301 WHITEWATER DR STE 190,,,Minnetonka,MN,55343,Hennepin,(952) 944-1930,Active,The French Academie,68 ,Service: Day time child care Ages Served: Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,08/29/2000,01/01/2023,12/31/2023,   ,,12301 WHITEWATER DR STE 190 Minnetonka MN 55343,"12301 Whitewater Dr #190, Minnetonka, MN 55343, USA",44.8956087,-93.4358742,
2,1086983,Child Care Center,1st Lutheran Preschool and Extended Day Program,925 E 13th St,,,Glencoe,MN,55336,McLeod,(320) 864-3317,Active,First Evangelical Lutheran Church Preschool and Extended Day Program,20 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,08/28/2018,01/01/2023,12/31/2023,   ,,925 E 13th St Glencoe MN 55336,"925 13th St E, Glencoe, MN 55336, USA",44.7727849,-94.14985689999999,
3,1080082,Child Care Center,2nd Home Childcare LLC,2600 26th Ave S #300,,,Minneapolis,MN,55406,Hennepin,(612) 814-1531,Active,2nd Home Childcare LLC,104,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,05/25/2016,01/01/2023,12/31/2023,   ,,2600 26th Ave S #300 Minneapolis MN 55406,"2600 26th Ave S #300, Minneapolis, MN 55406, USA",44.9550542,-93.2353213,
4,1108608,Child Care Center,3Rs Early Childhood Learning Center,4900 85TH AVE N,,,Minneapolis,MN,55443,Hennepin,(763) 315-5006,Active,Premier MN Brooklyn Park LLC,176,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,05/24/2021,01/01/2023,12/31/2023,   ,,4900 85TH AVE N Minneapolis MN 55443,"4900 85th Ave N, Minneapolis, MN 55443, USA",45.1093489,-93.3448796,
5,1081425,Child Care Center,A Better Childcare,7046 Brooklyn Blvd,,,Brooklyn Center,MN,55429,Hennepin,(612) 226-0236,Active,A Better Childcare,14 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,06/25/2018,01/01/2023,12/31/2023,   ,,7046 Brooklyn Blvd Brooklyn Center MN 55429,"7046 Brooklyn Blvd, Minneapolis, MN 55429, USA",45.083137,-93.339135,
6,800003,Child Care Center,"A Child's Delight Too, Inc.",200 Western Ave Suite 2A,,,Faribault,MN,55021,Rice,(507) 332-2264,Active,"A Child's Delight Too, Inc.",94 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,05/01/1980,01/01/2023,12/31/2023,   ,,200 Western Ave Suite 2A Faribault MN 55021,"200 Western Ave #2a, Faribault, MN 55021, USA",44.2917947,-93.3045992,
7,1096017,Child Care Center,A Child's Place Daycare Center ,3738 7TH AVE,,,Anoka,MN,55303,Anoka,(763) 710-7662,Active,A Child's Place Daycare Center LLC,70 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,01/14/2019,01/12/2023,12/31/2023,   ,,3738 7TH AVE Anoka MN 55303,"3738 N 7th Ave, Anoka, MN 55303, USA",45.2207646,-93.3772359,
8,1112619,Child Care Center,"A New Hope Family Child Care LLC, DBA A New Hope Preschool & ECE Progr",3596 LINDEN AVE STE B2,,,White Bear Lake,MN,55110,Ramsey,(651) 493-2833,Active,A New Hope Family Child Care LLC DBA A New Hope Preschool & ECE Progra,32 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,"Per health inspector, catering and pre-packaged snacks only.  Disposable serving utensils and silverware.",Child Care Center,Minnesota Department of Human Services,07/18/2022,01/01/2023,12/31/2023,   ,,3596 LINDEN AVE STE B2 White Bear Lake MN 55110,"3596 Linden Ave b2, White Bear Lake, MN 55110, USA",45.0495931,-93.0270255,
9,1097992,Child Care Center,A Plus Universal Child Care and Learning Center,1208 Shakopee Town Square,,,Shakopee,MN,55379,Scott,(952) 236-7460,Active,A Plus Universal Child Care and Learning Center,113,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,07/01/2019,01/01/2023,12/31/2023,   ,,1208 Shakopee Town Square Shakopee MN 55379,"1208 Shakopee Town Square, Shakopee, MN 55379, USA",44.7833209,-93.55493589999999,
10,1105095,Child Care Center,Aaron Child Care Inc.,2500 MINNEHAHA AVE STE 100,,,Minneapolis,MN,55404,Hennepin,(612) 886-2557,Active,Aaron Child Care Inc.,117,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,11/10/2020,01/01/2023,12/31/2023,   ,,2500 MINNEHAHA AVE STE 100 Minneapolis MN 55404,"2500 Minnehaha Ave #100, Minneapolis, MN 55404, USA",44.95669849999999,-93.2409876,
11,1052797,Child Care Center,AB Bohlman Inc dba Little Red Wagon,901 S Main St,,,Cambridge,MN,55008,Isanti,(763) 689-2567,Active,AB Bohlman Inc. DBA Little Red Wagon Child Care Center,81 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,01/05/2009,01/01/2023,12/31/2023,   ,,901 S Main St Cambridge MN 55008,"901 S Main St, Zumbrota, MN 55992, USA",44.2890289,-92.6687457,
12,1101850,Child Care Center,AB.SEE Preschool & Early Learning Center,300 PARK ST W,,,Cannon Falls,MN,55009,Goodhue,(507) 757-1110,Active,AB.SEE Preschool & Early Learning Center LLC,42 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,06/29/2020,01/01/2023,12/31/2023,   ,,300 PARK ST W Cannon Falls MN 55009,"300 Park St W, Cannon Falls, MN 55009, USA",44.5060502,-92.90460619999999,
13,1112247,Child Care Center,ABC Academy,160 3RD AVE W,,,Foley,MN,56329,Benton,(320) 968-9948,Active,ABC Academy LLC,61 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,08/29/2022,01/01/2023,12/31/2023,   ,,160 3RD AVE W Foley MN 56329,"160 3rd Ave W, Foley, MN 56329, USA",45.6611388,-93.9245322,
14,800020,Child Care Center,ABC Express,6820 St. Patrick Lane,,,Edina,MN,55439,Hennepin,(952) 941-8973,Active,"ABC Express, Inc.",91 ,Service: Day time child care Ages Served: Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,08/20/1985,01/01/2023,12/31/2023,   ,,6820 St. Patrick Lane Edina MN 55439,"6820 St Patricks Ln, Edina, MN 55439, USA",44.8787181,-93.38103,
15,1095850,Child Care Center,ABC Learning Center Inc,2533 24th AVE S ,,,Minneapolis,MN,55406,Hennepin,(612) 432-2452,Active,ABC Learning Center Inc,40 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,05/01/2019,01/01/2023,12/31/2023,   ,,2533 24th AVE S  Minneapolis MN 55406,"2533 24th Ave S, Minneapolis, MN 55406, USA",44.9561803,-93.23742279999999,
16,1108417,Child Care Center,ABC123 Child Enrichment Center LLC,1710 CENTER AVE W STE 122,,,Dilworth,MN,56529,Clay,(218) 349-5846,Active,ABC123 Child Enrichment Center LLC,28 ,Service: Day time child care Ages Served: Infants       ,None,Child Care Center,Minnesota Department of Human Services,05/10/2021,01/01/2023,12/31/2023,   ,,1710 CENTER AVE W STE 122 Dilworth MN 56529,"1710 Center Ave W #122, Dilworth, MN 56529, USA",46.8750582,-96.72240049999999,
17,1077914,Child Care Center,ABC123 Child Enrichment Center LLC,1710 CENTER AVE W STE 130,,,Dilworth,MN,56529,Clay,(218) 303-1993,Active,ABC123 Child Enrichment Center LLC,146,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,03/07/2016,01/01/2023,12/31/2023,   ,,1710 CENTER AVE W STE 130 Dilworth MN 56529,"1710 Center Ave W #130, Dilworth, MN 56529, USA",46.8750794,-96.7238711,
18,800381,Child Care Center,Abiding Branches Cooperative Preschool,171 Elm St,,,Lino Lakes,MN,55014,Anoka,(651) 214-3288,Active,Abiding Branches Cooperative Preschool,20 ,Service: Day time child care Ages Served: Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/01/1977,01/04/2023,12/31/2023,   ,,171 Elm St Lino Lakes MN 55014,"171 Elm St, Lino Lakes, MN 55014, USA",45.1686507,-93.13458349999999,
19,1051591,Child Care Center,Abiding Branches Cooperative Preschool,865 Birch St,,,Lino Lakes,MN,55014,Anoka,(612) 598-7284,Active,Abiding Branches Cooperative Preschool,20 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/08/2008,01/01/2023,12/31/2023,   ,,865 Birch St Lino Lakes MN 55014,"865 Birch St, Circle Pines, MN 55014, USA",45.1449953,-93.0992227,
20,800025,Child Care Center,Abiding Savior Lutheran Preschool,8211 Red Oak Dr NE,,,Mounds View,MN,55112,Ramsey,(763) 784-5326,Active,Abiding Savior Lutheran Church,35 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,02/23/1967,01/01/2023,12/31/2023,   ,,8211 Red Oak Dr NE Mounds View MN 55112,"8211 Red Oak Dr, Mounds View, MN 55112, USA",45.1170803,-93.2164146,
21,1116169,Child Care Center,Acacia Montessori,14119 GALAXIE AVE,,,Apple Valley,MN,55124,Dakota,(952) 236-9740,Active,Acacia Montessori,29 ,Service: Day time child care Ages Served: Preschool       ,"Per building inspector, no more than 29 children in care until sprinkler system installed. ",Child Care Center,Minnesota Department of Human Services,01/02/2023,01/02/2023,12/31/2023,   ,,14119 GALAXIE AVE Apple Valley MN 55124,"14119 Galaxie Ave, Apple Valley, MN 55124, USA",44.7457169,-93.2081776,
22,1092665,Child Care Center,Academia Elze,4 West Franklin Ave,,,Minneapolis,MN,55404,Hennepin,(612) 345-5370,Active,"Academia Elze, LLC",64 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,06/29/2018,01/01/2023,12/31/2023,   ,,4 West Franklin Ave Minneapolis MN 55404,"4 W Franklin Ave, Minneapolis, MN 55404, USA",44.9632446,-93.278303,
23,1050327,Child Care Center,Acorn Academy of Oak Haven Church,1555 Constance Blvd NE,,,Ham Lake,MN,55304,Anoka,(763) 413-9037,Active,Acorn Academy of Oak Haven Church,90 ,Service: Day time child care Ages Served: Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,05/29/2008,01/01/2023,12/31/2023,   ,,1555 Constance Blvd NE Ham Lake MN 55304,"1555 Constance Blvd NE, Ham Lake, MN 55304, USA",45.26711,-93.23045479999999,
24,1093196,Child Care Center,"Active Child Care Center, Inc",2000 PLYMOUTH AVE N,,,Minneapolis,MN,55411,Hennepin,(612) 353-4453,Active,"Active Child Care Center, Inc",111,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/24/2018,01/01/2023,12/31/2023,   ,,2000 PLYMOUTH AVE N Minneapolis MN 55411,"2000 Plymouth Ave N, Minneapolis, MN 55411, USA",44.9916788,-93.30601419999999,
25,1098257,Child Care Center,Afton View Child Care Center,363 Winthrop St. S.,,,Saint Paul,MN,55119,Ramsey,(651) 797-6010,Active,My Four & No More LLC,57 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,04/15/2019,01/01/2023,12/31/2023,   ,,363 Winthrop St. S. Saint Paul MN 55119,"363 Winthrop St S, St Paul, MN 55119, USA",44.93074259999999,-93.01033939999999,
26,1110742,Child Care Center,Agape Head Start,1037 UNIVERSITY AVE W,,,Saint Paul,MN,55104,Ramsey,(651) 744-7970,Active,Community Action Partnership of Ramsey and Washington Counties,54 ,Service: Day time child care Ages Served: Infants     Toddlers       ,"Until a food license is awarded, staff may mix the infant formula in the classrooms if they first wash their hands and wash an",Child Care Center,Minnesota Department of Human Services,11/08/2021,01/01/2023,12/31/2023,   ,,1037 UNIVERSITY AVE W Saint Paul MN 55104,"1037 University Ave W, St Paul, MN 55104, USA",44.9560593,-93.1435396,
27,830242,Child Care Center,Agape I Child Development Center,2304 Emerson Ave N,,,Minneapolis,MN,55411,Hennepin,(612) 287-9775,Active,Agape Child Development Center,129,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       Service: Night time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,Open 24 Hours a Day,Child Care Center,Minnesota Department of Human Services,08/01/1997,01/01/2023,12/31/2023,   ,,2304 Emerson Ave N Minneapolis MN 55411,"2304 Emerson Ave N, Minneapolis, MN 55411, USA",45.00275999999999,-93.2937618,
28,1017825,Child Care Center,Al Amal Preschool,1401 Gardenia Ave NE Rooms 103 & 105,,,Fridley,MN,55432,Anoka,(763) 571-8886,Active,Al-Amal School,60 ,Service: Day time child care Ages Served: Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,08/30/2002,01/01/2023,12/31/2023,   ,,1401 Gardenia Ave NE Rooms 103 & 105 Fridley MN 55432,"1401 Gardena Ave NE, Fridley, MN 55432, USA",45.075322,-93.2356066,
29,830800,Child Care Center,ALC Child Care Center,37 Woodlake Dr SE,,,Rochester,MN,55904,Olmsted,(507) 328-3980,Active,Rochester Public Schools,14 ,Service: Day time child care Ages Served: Infants     Toddlers       ,None,Child Care Center,Minnesota Department of Human Services,09/02/1998,01/01/2023,12/31/2023,   ,,37 Woodlake Dr SE Rochester MN 55904,"37 Woodlake Dr, Rochester, MN 55904, USA",43.9728887,-92.46143389999999,
