,coords,weight,point_type
0,"(44.2917947, -93.3045992)",94,Child Care
1,"(44.8787181, -93.38103)",91,Child Care
2,"(45.1170803, -93.2164146)",35,Child Care
3,"(43.6435327, -93.3647928)",157,Child Care
4,"(44.0689429, -92.4763802)",168,Child Care
5,"(44.90326169999999, -93.4824377)",45,Child Care
6,"(44.90326169999999, -93.4824377)",67,Child Care
7,"(44.964563, -93.2461222)",89,Child Care
8,"(47.5246293, -92.5373179)",127,Child Care
9,"(44.07403499999999, -93.2092766)",24,Child Care
10,"(46.86204069999999, -95.9858975)",20,Child Care
11,"(43.6684028, -92.951392)",89,Child Care
12,"(43.67063, -92.9695099)",22,Child Care
13,"(44.92253059999999, -93.073821)",80,Child Care
14,"(46.650006, -96.4189877)",62,Child Care
15,"(47.484988, -94.918327)",130,Child Care
16,"(44.7396002, -93.2717225)",101,Child Care
17,"(46.26365999999999, -95.062112)",20,Child Care
18,"(45.3146356, -93.2871432)",20,Child Care
19,"(44.94534100000001, -93.2109654)",86,Child Care
20,"(46.3522928, -94.2000994)",45,Child Care
21,"(44.981503, -93.3412888)",60,Child Care
22,"(44.73222699999999, -93.1529672)",50,Child Care
23,"(45.0649239, -93.3181709)",59,Child Care
24,"(45.2088087, -93.3914512)",49,Child Care
25,"(44.9874071, -93.3761696)",76,Child Care
26,"(45.8856186, -95.3819499)",50,Child Care
27,"(47.4371584, -94.8622655)",65,Child Care
28,"(45.5535198, -94.1495336)",57,Child Care
29,"(44.7157282, -96.2784766)",20,Child Care
30,"(44.8966059, -93.2876806)",80,Child Care
31,"(47.75987749999999, -96.6134439)",76,Child Care
32,"(45.0107556, -92.9832154)",62,Child Care
33,"(45.0356462, -93.0585201)",21,Child Care
34,"(43.92900425991665, -93.95167562710306)",22,Child Care
35,"(43.6636168, -93.3718018)",40,Child Care
36,"(44.752195, -93.2746442)",100,Child Care
37,"(44.9534928, -93.1255128)",118,Child Care
38,"(44.9737867, -93.2860071)",246,Child Care
39,"(45.1686507, -93.1345835)",20,Child Care
40,"(44.9874071, -93.3761696)",74,Child Care
